name_en,amenity,lat,long
Nuns Maternity Hospital,hospital,32.521666388151736,15.60014147210953
Tree health center,hospital,32.49724380724128,15.542901015888937
Waad Specialist Hospital,hospital,32.46497261974706,15.644247291886032
Seidoon hospital,hospital,34.441725401712496,17.329956508340008
Journalists Health Center,hospital,32.71814975890831,15.681374622852822
Al Faisal Specialist Hospital,hospital,32.52984182072996,15.59869646348384
Dr. Mubarak Ahmed Hassan,hospital,36.177762500278334,15.221871099927625
Tohamy Hospital,hospital,32.4764656998013,15.712492451482074
Dr. Noreen Clinic,hospital,32.466988823732564,15.620723191859263
Al-Rawdah Hospital,hospital,32.49965748899164,15.682766612927123
Al-Omran Health Center,hospital,32.50482413530092,15.69677885229387
Al-Hikma Health Center,hospital,32.503200200692504,15.465786300292356
Al Anoud Medical Complex,hospital,32.50251429145826,15.46782254660707
Square Hospital,hospital,32.55813955091127,15.566283800103268
Tabarak Children's Hospital,hospital,32.6259365297035,15.609144662452772
Mawaddah Medical Hospital,hospital,32.53229519234522,15.60092517091326
Al-Dakala district clinic,hospital,33.31479094909001,14.719771398786277
Hasahisa Teaching Hospital,hospital,33.29846308924209,14.729448579398344
Police hospital,hospital,33.53301538421822,14.398367545489014
Human health center,hospital,32.579112600091136,15.511797601746315
Khaled Ahmed Hamida Hospital,hospital,32.55600211479028,15.531766630412804
Razan Health Center,hospital,32.53751212385303,15.555504009927823
Sharif Hospital,hospital,32.53408598922473,15.599352272479036
Hospital rejoicing,hospital,32.49977986209926,15.682965941651226
Ibn Al-Haytham Hospital,hospital,32.530144198950744,15.598709549640537
Antalya Hospital,hospital,32.53008239975893,15.599015899603593
White Nile Hospital,hospital,32.52428602438265,15.636746358943416
Hay Al-Jamaa Medical Complex,hospital,32.61619354976745,15.598596899755725
Martyr Ali Abdel Fattah Hospital,hospital,32.57996063257647,15.723851152429251
Al-Droshab Specialized Maternity Hospital,hospital,32.57887392341016,15.7138187133821
Rehan Hospital,hospital,32.565232848374784,15.738815954925434
Aldroushap,hospital,32.57818679033514,15.713562300990183
Delmon Private Hospital,hospital,32.50399995014061,15.523415301377224
Safety Center for Physiotherapy,hospital,32.497081336430114,15.516105804165088
Al-Munira Hospital,hospital,32.5294021499161,15.598622999114188
Sabbar Hospital,hospital,32.529905549932074,15.622977949481795
Dr. Salma Dialysis Center,hospital,32.538611114250116,15.602751790120983
Future Specialty Hospital,hospital,32.565319239184646,15.567677823482402
Major General Omar Sawy Hospital,hospital,32.55962665495965,15.612390829482557
Kinan Medical Complex,hospital,32.530585022024425,15.636333805234868
Tropical Medicine Hospital,hospital,32.49360722594464,15.640299508068805
Good parents hospital for ophthalmology,hospital,32.467797300476114,15.643236624123203
Lieutenant Hospital,hospital,32.49736339473558,15.640754020239887
Dr. Naguib Hospital,hospital,32.49162408706266,15.641950007322805
Baqaa Hospital,hospital,32.48795988981743,15.643409891098438
Warfco Dental Center,hospital,32.573369561576285,15.594691879201207
Nun Hospital,hospital,32.48332264965125,15.63700485655601
Shambat Health Centre,hospital,32.525183498114636,15.652923649546057
Anfal Hospital,hospital,32.45658690033503,15.664958850086895
Yashfin Center for Hearing,hospital,32.49382781707182,15.647658892266668
Al Nada Hospital,hospital,32.4822279455063,15.66621717482362
Sima Charitable Eye Hospital,hospital,32.53692983703429,15.622644245912051
Imam Abd al-Rahman al-Mahdi Hospital,hospital,32.460792842039346,15.592991080582275
Al-Qusi Hospital,hospital,32.45420080002979,15.667394151562043
Naval Military Hospital,hospital,32.55118094944533,15.624031199992634
Al-Rajhi Hospital,hospital,32.369221131583664,15.64880643502034
Sharif Psychiatric Hospital,hospital,32.57901054500105,15.606477194147796
Obada Abdullah Hospital,hospital,32.607430749607076,15.638621950190224
Al Nahda Hospital,hospital,32.41846727287015,15.62431650564119
SD Medical Complex,hospital,32.55502078150451,15.689587063026844
JICA Mother and Child Hospital,hospital,32.41806498577666,15.663940315206803
Sudan Eye Center,hospital,32.546311274616215,15.553743565835179
Jerash Hospital,hospital,32.57750600027304,15.572934798655654
Jumana Dental Center,hospital,32.61971912185634,15.611032605109452
Kafouri East Dispensary,hospital,32.61349656820496,15.65548358604667
Al-Salam Hospital for heart diseases,hospital,32.663114849546865,15.509695700427383
Shifaa Al-Alil Hospital,hospital,32.451622324512854,15.687824161653351
Al Roumi Medical Center,hospital,32.47649887598645,15.691341894244243
Jamawiya Hospital,hospital,32.52371818623311,15.74788912571661
Peace Medical Center,hospital,32.524298265126795,15.752329166790776
Khalil Children's Clinic,hospital,32.499927703606005,15.68333288682055
Righteous Hospital,hospital,32.436890353418924,15.67918462367819
Noor Al-Huda Center for Treatment and Rehabilitation,hospital,32.54932532441797,15.66120682971786
Martyr Moez Al-Abadi Hospital,hospital,32.583632135519565,15.764727229878137
Makkah Eye Hospital,hospital,32.48275118695055,15.480902013534534
Al-Khamjab and Al-Tebneh Health Center,hospital,32.58970107701067,15.804687892201501
Makkah Eye Hospital - Al-Kalakla,hospital,32.482730771397435,15.481182838355044
Umshar Health Center,hospital,32.49352184944696,15.421285678510701
Central Reserve Hospital,hospital,32.50805972340128,15.431187798245302
Al-Amal Health Center,hospital,32.539696751002545,15.442480549693405
Negro Village Health Centre,hospital,33.247090199846824,14.472211200766928
Al-Razi University Hospital,hospital,32.592511223606586,15.514181244412992
Armored Hospital,hospital,32.50485776052827,15.541161550780867
Ambdah Model Hospital,hospital,32.41814732504682,15.664686199297774
Hawasha Medical Center - Al Arda,hospital,32.474061647125716,15.644204916638786
Tabarak Children's Hospital,hospital,32.48628211526634,15.66144848716302
Makkah Charity Hospital,hospital,32.48590853253079,15.6573501644121
Jordanian Specialist Hospital,hospital,32.573437436223834,15.597205833268516
Health Center,hospital,33.22393374492855,15.09776654836882
Riyadh Center for Physiotherapy,hospital,32.56694718405712,15.58079566636908
Ahmed Qasim Hospital,hospital,32.532558676565756,15.637660321985965
NA,hospital,32.65297103396229,15.555612779164019
Alsoriba Healthcare Centre,hospital,33.50201346657135,14.316795209764555
Sheikh Hospital,hospital,32.56784378041752,15.539693834600142
Khartoum city for the development of children's abilities,hospital,32.50528916123219,15.557105284469039
First Eid Hamdia,NA,36.53220420073345,14.26860319958508
MSF office,clinic,28.459738850359848,9.58429059837133
NA,hospital,32.98532993063511,14.231248670531695
Al Kurumuk Hospital,hospital,34.28255545486116,10.556390084471465
